Name,Image,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,Serial ID,Internal ID,Unique Entry ID
birdcage,,8,wood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,865,brown,FtrBirdcage,404,216,Dm56HseZexdC2ctda
birdhouse,,2,wood,5,softwood,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,333,brown,FtrBirdhouse,435,41,cDe3r9tficCbWgmH4
blossom-viewing lantern,,6,cherry-blossom petal,4,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6831,pink,FtrSakuraLantern,3404,427,7dxFMY3pjTmv4D3QX
blue rose crown,,6,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,7377,green,CapOrnamentRose4,8215,459,5oscGctPhHbHFeSHY
blue rose wreath,,10,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5772,green,FtrDoorOrnamentWreathRoseUrtraRare,7855,447,XbGbAr5htMNb6h4mr
bone doorplate,,3,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4751,brown,FtrDoorPlateBone,500,467,jbvhjbWecrky57s9e
bonfire,,1,campfire,10,wood,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,1430,brown,FtrCampfire,201,34,JxApKgoud4gfvEcwk
bonsai shelf,,1,cherry-blossom bonsai,1,pine bonsai tree,8,wood,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Housewares,3580,brown,FtrBonsaiShelf,437,593,ybNj2deAkSr4AkbXf
boomerang,,3,hardwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,682,brown,FtrBoomerang,481,171,rMasSCDby69z84Fai
brick fence,,6,clay,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3080,brick,ItemFenceWallRenga,790,99,F7bg775Kh6niY7gcZ
brick oven,,8,clay,2,iron nugget,6,wood,,,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,1157,brick,FtrStoneoven,706,58,HKzfxMGvbz6Xhni9E
brick well,,8,clay,5,wood,1,flimsy shovel,,,,,,,NFS,200,2000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,3776,brick,FtrWellBrick,707,408,MZhaSK4GZ9D3jkRMw
bridge construction kit,,4,log stakes,4,clay,4,stone,,,,,,,NFS,200,NA,NA,Tom Nook,Obtained during the main storyline,NA,NA,1.0.0,Yes,0,Other,7211,NA,BridgeLogReserveKit,1,458,5aMdJ9fqw3nFtTSYR
brown herringbone wall,,15,softwood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4804,brown,RoomTexWallHerringbone00,524,312,YXiuGMDZmkG7wbuQn
Bunny Day arch,,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Zipper,Reward from Zipper after collecting all 6 egg types,Bunny Day,Yes,1.1.0,Yes,0,Housewares,12398,yellow,FtrEggArch,8608,695,LnuCzHYJaAs4HNMdm
Bunny Day bag,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,All villagers,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12447,yellow,BagBackpackEgg0,8681,694,9njGw9d2nxaB5RiGR
Bunny Day bed,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12414,yellow,FtrEggBedW,8604,698,FiJ85ZKnHbkjNQ7FF
Bunny Day crown,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,All villagers,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12445,yellow,CapOrnamentCEgg0,8680,693,ARB6gWR7MFyiPoP3b
Bunny Day fence,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Other,12630,yellow,ItemFenceEgg,8690,712,4Kdig9tWPTr4Xx6Kv
Bunny Day festive balloons,,1,stone egg,1,wood egg,1,water egg,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12421,yellow,FtrEggBalloonB,8607,704,gSFqr84aRRt85bwzj
Bunny Day flooring,,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Floors,12423,yellow,RoomTexFloorEaster00,8651,710,niHGKnTgXRGTbpEwc
Bunny Day glowy garland,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12417,yellow,FtrEggLampWall,8631,700,o4dxxDMeguMH8zQzx
Bunny Day lamp,,4,wood egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Miscellaneous,12413,yellow,FtrEggLamp,8605,697,aJAmvizpFhDespKHb
Bunny Day merry balloons,,1,earth egg,1,leaf egg,1,sky egg,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12419,yellow,FtrEggBalloonA,8606,702,8JL8MamAW5zYTfT3J
Bunny Day rug,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Rugs,7546,yellow,RugOtherEasterM00,8652,709,qhQxRtRZztg72hh23
Bunny Day stool,,3,water egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12415,yellow,FtrEggStool,8600,699,wa4bcffdYLswPfJ2B
Bunny Day table,,4,earth egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12436,yellow,FtrEggTableS,8601,705,9aQh9Qrq3vpQdqueu
Bunny Day vanity,,4,leaf egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12420,yellow,FtrEggDresser,8603,703,NnTWBXepctfiLMjnL
Bunny Day wall,,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wallpaper,5231,yellow,RoomTexWallEaster00,8650,708,fJWKvdNQwBqRaKjsz
Bunny Day wall clock,,3,sky egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12418,yellow,FtrEggClock,8630,701,CYdX8kEStsmMXX96v
Bunny Day wand,,1,wobbling Zipper toy,3,star fragment,,,,,,,,,NFS,200,NA,NA,Zipper,Reward from Zipper after crafting wobbling Zipper toy,Bunny Day,Yes,1.1.0,Yes,0,Tools,12578,yellow,ToolStickEgg,8691,711,ySsGKkX7k5TFeytzQ
Bunny Day wardrobe,,4,stone egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12437,yellow,FtrEggClosetLR,8602,706,CNAhe3aeGYQ22Q7LG
Bunny Day wreath,,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12517,yellow,FtrDoorOrnamentWreathEaster,8640,707,296Ws5ikbL8hMv3ZC
butter churn,,4,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,7805,brown,FtrButtermixer,433,508,zAPyFGPvmSTCdivgm
cabin wall,,15,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4840,brown,RoomTexWallLog00,527,315,vYePWAqNbmHCX2n7u
campfire,,3,tree branch,,,,,,,,,,,NFS,200,NA,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Housewares,1429,brown,FtrBonfire,200,13,YDCiZFYQHNweKWYcz
campsite construction kit,,15,wood,15,softwood,15,hardwood,15,iron nugget,,,,,NFS,200,NA,NA,Tom Nook,Obtained during the main storyline,NA,NA,1.0.0,Yes,0,Other,5166,NA,CampsiteReserveKit,1,461,r2Hct8GMigwWDdwc8
Cancer table,,3,star fragment,2,Cancer fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,NA,Celeste,,Cancer,Yes,1.0.0,Yes,0,Housewares,5959,silver,FtrZodiacCancer,2303,371,FvH6DXMtKuuXbmRdS
Capricorn ornament,,3,star fragment,2,Capricorn fragment,2,gold nugget,12,stone,,,,,NFS,200,NA,NA,Celeste,,Capricorn,Yes,1.0.0,Yes,0,Housewares,5957,silver,FtrZodiacCapricornus,2309,370,WzAvFzPD5oa7ZijeY
cardboard bed,,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7161,yellow,FtrCardboardBedS,2133,497,egMT9pGzXF4tW2TcQ
cardboard chair,,1,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7163,yellow,FtrCardboardChairS,2130,498,keFZfoTQf5ShhZn7b
cardboard sofa,,2,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7159,yellow,FtrCardboardSofaL,2131,500,XfuFR6TygpGsHECLn
cardboard table,,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7160,yellow,FtrCardboardTableL,2132,496,nXCaiKb8ZKtRdFrps
cherry dress,,8,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9838,yellow,TopsTexOnepieceAlineNCherry0,1482,612,XeA7zE2nkf38vLXR2
cherry hat,,5,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9873,yellow,CapHatCherry0,1481,613,t7SsbKgRAa6GWgjR8
cherry lamp,,10,cherry,2,clay,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Wall-mounted,4012,yellow,FtrFruitsLampW,1430,162,6hBjge6rn7Sxd5sr7
cherry rug,,6,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Rugs,7328,yellow,RugOtherCherryM00,1470,543,pMnYDcm7v9cjAdLj2
cherry speakers,,10,cherry,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Miscellaneous,4011,yellow,FtrFruitsMusic,1400,161,TtSKEhTt2uf2P9Mcj
cherry umbrella,,7,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9949,yellow,UmbrellaCherry0,1480,614,pKzsdzbBmNX3hZd7R
cherry wall,,20,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4919,yellow,RoomTexWallCherry00,1450,307,c4EyTmXti6TusMbGF
cherry-blossom bonsai,,6,cherry-blossom petal,2,hardwood,3,clump of weeds,3,clay,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Miscellaneous,6030,pink,FtrBonsaiSakura,3401,375,ToGQibiXb4sB3pT7B
cherry-blossom branches,,8,cherry-blossom petal,4,tree branch,5,clay,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6031,pink,FtrSakuraBranch,3402,419,6P3zgNBfKCc3vZxjJ
cherry-blossom clock,,5,cherry-blossom petal,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wall-mounted,6832,pink,FtrSakuraClockW,3430,426,9kPKbzAAQzJTu9758
cherry-blossom flooring,,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Floors,7204,pink,RoomTexFloorSakura00,3460,479,Bthw6qsrWMxRp4L2J
cherry-blossom pochette,,6,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,7490,pink,BagShoulderCherryblossoms0,3481,630,vh9iLeDKLo3LR8T4G
cherry-blossom pond stone,,10,stone,3,cherry-blossom petal,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,7409,light gray,FtrStonewaterbowlSakura,820,511,5kPZxufBzifksrFoK
cherry-blossom umbrella,,7,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,9945,pink,UmbrellaCherryblossom0,3480,629,Ss2QnC4nP26NFyexM
cherry-blossom wand,,3,cherry-blossom petal,3,star fragment,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Tools,7589,pink,ToolStickCherryblossom,3490,537,TRZ2p8L58k3FvGpPJ
cherry-blossom-petal pile,,5,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6032,pink,FtrSakuraPetal,3400,418,Brh7tns5YQ2rzkYLN
cherry-blossom-trees wall,,10,cherry-blossom petal,5,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wallpaper,7205,pink,RoomSpWallSakura00,3450,480,C4v4pT2hwNJdB82tD
chic cosmos wreath,,10,black cosmos,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5764,green,FtrDoorOrnamentWreathCosmosRare,7848,444,XgThrnxG75cqkssWt
chic mum crown,,3,purple mums,3,pink mums,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5118,green,CapOrnamentMum2,8204,259,tZEt9aNRec7gTZDjp
chic rose crown,,3,purple roses,3,black roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5113,green,CapOrnamentRose3,8214,254,af3PHSYfriLmgvb8b
