Name,Type,Version Added,Availability,Northern Hemisphere Dates,Southern Hemisphere Dates,2020 Dates,2021 Dates,Display Name,Internal Label,Unlock Date,Unlock Method,Unique Entry ID
Virgo,Zodiac season,1.0.0,Every year,August 23 – September 22,August 23 – September 22,NA,NA,Virgo,NA,2020-03-20,No,s5pDRHdgiSvDQqHdL
Libra,Zodiac season,1.0.0,Every year,September 23 – October 23,September 23 – October 23,NA,NA,Libra,NA,2020-03-20,No,9XGhdA9uRd8wpFcnF
Scorpio,Zodiac season,1.0.0,Every year,October 24 – November 22,October 24 – November 22,NA,NA,Scorpio,NA,2020-03-20,No,596kyafmfDmHdW7ce
Sagittarius,Zodiac season,1.0.0,Every year,November 23 – December 21,November 23 – December 21,NA,NA,Sagittarius,NA,2020-03-20,No,bTaE6agqsduPGZ9h3
Capricorn,Zodiac season,1.0.0,Every year,December 22 – January 19,December 22 – January 19,NA,NA,Capricorn,NA,2020-03-20,No,Hg5dLT2EZYv4AqRHS
Aquarius,Zodiac season,1.0.0,Every year,January 20 – February 18,January 20 – February 18,NA,NA,Aquarius,NA,2020-03-20,No,qhhHqPBRzJ7qLsocW
Pisces,Zodiac season,1.0.0,Every year,February 19 – March 20,February 19 – March 20,NA,NA,Pisces,NA,2020-03-20,No,t3oLZbrWRDCqGFWff
Spring shopping,Shopping season,1.0.0,Every year,March 1 – May 31,September 1 – November 30,NA,NA,Spring shopping,NA,2020-03-20,No,cgstqsmrRFsG3HRHm
Summer shopping,Shopping season,1.0.0,Every year,June 1 – August 31,December 1 – February 29,NA,NA,Summer shopping,NA,2020-03-20,No,gdqi5z5jot9H4fsz9
Fall shopping,Shopping season,1.0.0,Every year,September 1 – November 30,March 1 – May 31,NA,NA,Fall shopping,NA,2020-03-20,No,pmM4yBFvMXTXcooL5
Winter shopping,Shopping season,1.0.0,Every year,December 1 – February 29,June 1 – August 31,NA,NA,Winter shopping,NA,2020-03-20,No,h5W3JH8kDC4xJHgva
Festive shopping,Shopping season,1.0.0,Every year,December 1 – December 25,December 1 – December 25,NA,NA,Festive shopping,NA,2020-03-20,No,z3NNqZMg7eDZRK3JD
Birthday,Basegame event,1.0.0,Every year,NA,NA,NA,NA,Birthday,PlayerBirthday,2020-03-20,No,8gF25cNHcBJxveb5A
Fishing Tourney,Basegame event,1.0.0,Every year,"2nd Saturday of April;
2nd Saturday of July;
2nd Saturday of October;
2nd Saturday of January","2nd Saturday of October;
2nd Saturday of January;
2nd Saturday of April;
2nd Saturday of July",NA,NA,Fishing Tourney,"FishingConventionSpring;
FishingConventionSummer;
FishingConventionAutumn;
FishingConventionWinter",2020-03-20,No,FGE5KSaw2fEX9M7Er
Bug-Off,Basegame event,1.0.0,Every year,"4th Saturday of June;
4th Saturday of July;
4th Saturday of August;
4th Saturday of September","3rd Saturday of November;
3rd Saturday of December;
3rd Saturday of January;
3rd Saturday of February",NA,NA,Bug-Off,"InsectConvention1;
InsectConvention2;
InsectConvention3;
InsectConvention4",2020-03-20,No,ARcnvRvmH6ug2JBXi
Countdown,Basegame event,1.0.0,Every year,December 31,December 31,NA,NA,Countdown,Countdown,2020-03-20,No,ofQGGtcwwK7dm9tpW
Bunny Day (ready days),Special event,1.1.0,Specific years,NA,NA,April 1 – April 11,NA,Bunny Day,Easter,2020-04-01,BCAT (a),4ku2HWxsXtYsHZPnA
Bunny Day,Special event,1.1.0,Specific years,NA,NA,April 12,NA,Bunny Day,Easter,2020-04-01,BCAT (a),mN6SNYaRhEqushr8n
Nature Day,Special event,1.2.0,Specific years,NA,NA,April 23 – May 4,NA,Nature Day,EarthDay,2020-04-23,No,ej9oowKQuQmZs4sZY
May Day,Special event,1.2.0,Specific years,NA,NA,May 1 – May 7,NA,May Day,MayDay,2020-05-01,BCAT (a),cRAsXSu4L5HHoScER
International Museum Day,Special event,1.2.0,Specific years,NA,NA,May 18 – May 31,NA,International Museum Day,InternationalMuseum,2020-05-18,BCAT (b),Dk8YdEvdKBNihCDFM
Wedding Season,Special event,1.2.0,Specific years,NA,NA,June 1 – June 30,NA,Wedding Season,JuneBride,2020-06-01,BCAT (c),67TSSQDefBj5N8gp8
Mother's Day,Nook Shopping event,1.2.0,Specific years,NA,NA,May 1 – May 31,NA,Mother's Day,MothersDay,2020-05-01,NTP,Hs623rDkgMAhnsjhy
International Children's Day,Nook Shopping event,1.2.0,Specific years,NA,NA,June 1 – June 30,NA,International Children's Day,WorldChild,2020-06-01,NTP,PSzeGZ8iagsS3juM8
Father's Day,Nook Shopping event,1.2.0,Specific years,NA,NA,June 1 – June 30,NA,Father's Day,FathersDay,2020-06-01,NTP,DGpj63PS3qXFbSYBK
Summer Solstice (northern hemisphere),Nook Shopping event,1.2.0,Specific years (NH only),NA,NA,June 7 – July 6,NA,Summer Solstice,SummerSolstice,2020-06-07,NTP,vQbgAS6zTFgMZ2Ci4
Winter Solstice (southern hemisphere),Nook Shopping event,1.2.0,Specific years (SH only),NA,NA,June 7 – July 6,NA,Winter Solstice,WinterSolstice,2020-06-07,NTP,WTek3FANZJsBDDQrf
Tanabata,Nook Shopping event,1.3.0,Specific years,NA,NA,July 1 – July 31,NA,Tanabata,Tanabata,2020-07-01,NTP,DRHv3aXj2usrWdsHQ
Fireworks Show,Special event,1.4.0,Specific years,NA,NA,"August 2;
August 9;
August 16;
August 23;
August 30",NA,Fireworks Show,"Fireworks1;
Fireworks2;
Fireworks3;
Fireworks4;
Fireworks5",2020-07-30,No,h6b7G8S5L36zMPLFg
Cowboy Festival,Nook Shopping event,1.4.0,Specific years,NA,NA,August 1 – August 31,NA,Cowboy Festival,CowBoyFestival,2020-08-01,NTP,DRqqw3iMu6sranZ5Y
Cowherd & Weaver Girl Day,Nook Shopping event,1.4.0,Specific years,NA,NA,August 1 – August 31,NA,Cowherd & Weaver Girl Day,GyurouSyokujyo,2020-08-01,NTP,RpMgTwZcCL82njXnh
Grape Harvest Festival,Nook Shopping event,1.4.0,Specific years,NA,NA,September 1 – September 30,NA,Grape Harvest Festival,GrapeHarvestFestival,2020-09-01,NTP,e6vjhAiYsg9Jzua5t
Moon-Viewing Day,Nook Shopping event,1.4.0,Specific years,NA,NA,September 7 – October 8,NA,Moon-Viewing Day,MidAutumnFestival,2020-09-07,NTP,cs2qcLkD4RFZpJRDY
Halloween (ready days),Special event,1.5.0,Specific years,NA,NA,October 1 – October 30,NA,Halloween,Halloween,2020-09-30,No,CkhTdh8xBcjRPmCCM
Halloween,Special event,1.5.0,Specific years,NA,NA,October 31,NA,Halloween,Halloween,2020-09-30,No,ZYoPaw7SennvjdMqj
Turkey Day,Special event,1.6.0,Specific years,NA,NA,November 26,NA,Turkey Day,HarvestFestival,2020-11-26,BCAT (a),n3cSGsDLnJJqLC76K
Turkey Day (shopping days),Special event,1.6.0,Specific years,NA,NA,November 27 – November 30,NA,Turkey Day,HarvestAfterTerm,2020-11-26,BCAT (a),LWQHvmgWcWpx6EBfn
Toy Day (ready days phase 1),Special event,1.6.0,Specific years,NA,NA,December 1 – December 14,NA,Toy Day,XmasReady1,2020-12-01,BCAT (b),WwqGv6zGXSbpdW7B2
Toy Day (ready days phase 2),Special event,1.6.0,Specific years,NA,NA,December 15 – December 23,NA,Toy Day,XmasReady2,2020-12-01,BCAT (b),4b2C4HeZzZhtbjYo3
Toy Day,Special event,1.6.0,Specific years,NA,NA,December 24,NA,Toy Day,XmasEve,2020-12-24,BCAT (c),8BTw75h6CYtPousz7
Toy Day (day after),Special event,1.6.0,Specific years,NA,NA,December 25,NA,Toy Day,XmasAfter,2020-12-24,BCAT (c),WRJS7x258JZXcBhiD
Winter Solstice (northern hemisphere),Nook Shopping event,1.6.0,Specific years (NH only),NA,NA,December 1 – December 31,NA,Winter Solstice,Midwinter,2020-12-01,NTP,fdqSGfgLZy6xzrL49
Summer Solstice (southern hemisphere),Nook Shopping event,1.6.0,Specific years (SH only),NA,NA,December 1 – December 31,NA,Summer Solstice,SouthernMidwinter,2020-12-01,NTP,sQSJrS3vHKbtpNL2L
Ōmisoka,Nook Shopping event,1.6.0,Specific years,NA,NA,December 26 – December 31,NA,New Year's Eve,Oomisoka,2020-12-26,NTP,8rWzJhnPupkFxeeE5
Silvester,Nook Shopping event,1.6.0,Specific years,NA,NA,December 26 – December 31,NA,New Year's Eve,NewYearsEveGermany,2020-12-26,NTP,pg7Wus3cgYWtn4wAg
Nochevieja,Nook Shopping event,1.6.0,Specific years,NA,NA,December 26 – December 31,NA,New Year's Eve,NewYearsEveSpain,2020-12-26,NTP,QgqtGLo5zitZsvcPE
New Year's Eve,Nook Shopping event,1.6.0,Specific years,NA,NA,December 26 – December 31,NA,New Year's Eve,NewYearsEveWorld,2020-12-26,NTP,cBXYqjysyynrFu7fw
Shōgatsu (1),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RegionNewYear,2021-01-01,NTP,LwmgQ2WpBrBhJDDcZ
Shōgatsu (2),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RegionNewYear2,2021-01-01,NTP,Yvq5mrsjYX9HBBoN2
Shōgatsu (3),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RegionNewYear3,2021-01-01,NTP,j6XM3Bsw5vtskwub2
New Year's Day (Russia),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RoshiaNewYear,2021-01-01,NTP,7tSXFbSyGohRqRcAd
New Year's Day (World),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,WorldNewYear,2021-01-01,NTP,s9EY4eT28FvMq4MmR
New Year's Day (Korea),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,KoreaNewYear,2021-01-01,NTP,9sayQ8ZTXonPimMf2
New Year's Day (Asia),Nook Shopping event,1.6.0,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,ChinaNewYear,2021-01-01,NTP,PnPBujYf6ztitFX7F
